EndingID,Title,Description,StatCondition,StatType,Route,Priority,CTA
END001,Strategic Scholar,You planned each step with care and built a future on solid ground. Your analytical approach and thorough preparation have set you up for long-term success in Australia.,Knowledge >= Courage AND Knowledge >= Luck,Strategic,All,1,"🗺️ Talk to an agent to see how to turn your strategic planning into a real migration pathway."
END002,Adventurous Pioneer,You faced challenges head-on and turned uncertainty into strength. Your bold decisions and proactive approach have opened doors you never expected.,Courage >= Knowledge AND Courage >= Luck,Adventurous,All,1,"🗺️ Talk to an agent to explore exciting opportunities that match your adventurous spirit."
END003,Fortunate Wanderer,Your path twisted with surprises — but luck favored the bold. Your open-minded approach and flexibility have led to unexpected opportunities and connections.,Luck >= Knowledge AND Luck >= Courage,Serendipity,All,1,"🗺️ Talk to an agent to discover how your flexible mindset can lead to amazing opportunities."
END004,Harmonious Explorer,You found balance between learning, courage, and chance — a journey still unfolding. Your well-rounded approach has prepared you for whatever comes next.,Balanced (all stats within 1 point),Harmonious,All,1,"🗺️ Talk to an agent to see how your balanced approach can lead to a successful future in Australia."
END005,Knowledge Seeker,Your thirst for knowledge and understanding has guided you through every challenge. You've become a true scholar of the Australian experience.,Knowledge > Courage + 1 AND Knowledge > Luck + 1,Strategic,All,2,"🗺️ Talk to an agent about advanced study and research opportunities that match your intellectual curiosity."
END006,Bold Leader,Your courage and leadership have inspired others and opened doors. You've become a natural leader in your community.,Courage > Knowledge + 1 AND Courage > Luck + 1,Adventurous,All,2,"🗺️ Talk to an agent about leadership opportunities and career advancement that match your bold nature."
END007,Lucky Charm,Your positive attitude and openness to new experiences have brought you incredible opportunities. You've become a magnet for good fortune.,Luck > Knowledge + 1 AND Luck > Courage + 1,Serendipity,All,2,"🗺️ Talk to an agent about opportunities that match your positive and flexible approach to life."
END008,Student Success,Your dedication to learning and academic excellence has paid off. You've mastered the art of studying in Australia and are ready for the next challenge.,Knowledge >= 4,Strategic,STD,1,"🗺️ Talk to an agent about graduate programs and career opportunities that match your academic achievements."
END009,Working Holiday Champion,Your adventurous spirit and adaptability have made your working holiday an incredible success. You've truly experienced what Australia has to offer.,Courage >= 4,Adventurous,WHV,1,"🗺️ Talk to an agent about extending your stay or transitioning to other visa options."
END010,Graduate Achiever,Your professional development and career focus have positioned you for success. You've built a strong foundation for your future in Australia.,Knowledge >= 4,Strategic,PSW,1,"🗺️ Talk to an agent about permanent residency and long-term career opportunities."
END011,Offshore Planner,Your careful planning and preparation have set you up for success. You're ready to make the most of your Australian adventure.,Knowledge >= 4,Strategic,OVS,1,"🗺️ Talk to an agent about making your Australian dream a reality."
END012,Social Butterfly,Your networking skills and social connections have opened doors you never expected. You've built a strong community in Australia.,Luck >= 4,Serendipity,All,2,"🗺️ Talk to an agent about opportunities that match your social and networking strengths."
END013,Problem Solver,Your analytical thinking and problem-solving skills have helped you overcome every challenge. You've become a valuable asset to any team.,Knowledge >= 4,Strategic,All,2,"🗺️ Talk to an agent about opportunities that match your analytical and problem-solving abilities."
END014,Risk Taker,Your willingness to take calculated risks has led to incredible opportunities. You've proven that fortune favors the bold.,Courage >= 4,Adventurous,All,2,"🗺️ Talk to an agent about exciting opportunities that match your risk-taking nature."
END015,Cultural Bridge,Your cultural sensitivity and communication skills have made you a bridge between communities. You've become a cultural ambassador.,Luck >= 4,Serendipity,All,2,"🗺️ Talk to an agent about opportunities that match your cultural understanding and communication skills."




